ts	phase	decision	why	evidence	result
2026-08-27T21:13:01Z	intake	started PR 16.2 from merged main f78db18	the phase depends on PR 16.1 and must not stack on its feature branch	git rev-parse HEAD; PR #68	PASS: branch codex/portable-whisper-release-identity at f78db18
2026-08-27T21:13:01Z	disk gate	removed Cargo debug and release outputs in both worktrees before design	cold builds had pushed the disk to 94 percent and risked destabilizing T3Code	df -h; target/debug; target/release	PASS: 59 GB free, 87 percent used
2026-08-27T21:13:01Z	grounding	traced Rust, Python, and CI release identity flows before design	the current AdmissionIdentity mixes app release identity with inference and hardware evidence	crates/echo/src/stt/whisper_admission.rs; scripts/whisper_release_common.py; docs/RELEASING.md	IN PROGRESS: three pstack:how explorers
2026-08-27T21:34:21Z	architecture	selected independent v3 IDs with a package-specific release binding	four candidates and a cross-judge agreed app facts belong only in the binding and environment facts must stay hardware-only	docs/plans/16-portable-whisper-acceleration/pr16-2-design.md; /tmp/arena-pr16-2	Candidate 1 base; Candidate 3 input matrix; Candidate 4 migration timing
2026-08-27T21:34:21Z	phase boundary	kept the v2 selector active through PR 16.2	the approved program moves v3 selection to PR 16.3 and deletes v2 in PR 16.5; PR 16.2 must not regress current exact behavior	docs/plans/16-portable-whisper-acceleration/pr16-2-design.md	PASS: v3 stages beside v2, no production selector rewrite
2026-08-27T21:37:31Z	grounding correction	named the three architecture slices directly	the earlier row used an internal workflow label instead of evidence a reviewer can follow	Rust identity flow; Python qualification flow; CI release flow	SUPERSEDES grounding result wording; architecture trace complete
2026-08-27T21:42:24Z	red-green	added shared canonical ID fixtures before release schemas	Rust and Python need one byte-level contract before staging can separate identities safely	crates/echo/tests/fixtures/whisper-v3-identities.json; scripts/whisper_identity_v3.py; crates/echo/src/stt/whisper_identity.rs	PASS: five Node-generated IDs match Python and three Rust tests
2026-08-27T21:42:24Z	disk checkpoint	compiled Rust identity tests in an isolated Cargo target	the build must not repopulate the project target or mix with retained model evidence	/tmp/echo-pr16-2-cargo; df -h	PASS: isolated target 957 MB, 58 GB free
2026-08-27T21:48:55Z	schema inputs	made all five identity preimages strict domain records	generic JSON hashes could accept app fields in reusable evidence or runtime fields in the environment key	scripts/whisper_identity_v3.py; crates/echo/src/stt/whisper_identity.rs	PASS: Python negative cases and five Rust typed fixture tests
2026-08-27T21:55:27Z	aggregate schema	added strict acceleration-set and release-binding validation	staging needs one reusable evidence tree and one exact app binding without mixing their invalidation domains	scripts/whisper_identity_v3.py; scripts/whisper_release_common.py	PASS: valid set and binding verify; false gate and broken references reject
2026-08-27T22:07:27Z	release tooling	made promotion, composition, and staging emit v3 sidecars beside v2	app-only release reuse must land without changing the current exact-machine production selector	scripts/promote-whisper-admission.py; scripts/compose-whisper-admission-set.py; scripts/stage-qualified-whisper-release.py	PASS: single-model, multi-model, binding, extraction, and version-rotation self-tests
2026-08-27T22:07:27Z	production safety	kept v2 resources and default staging mode unchanged	PR 16.2 adds optional reusable evidence; PR 16.3 migrates selection and PR 16.5 deletes v2	promotion.json and promotion-v3.json; admission-set.json and acceleration-set.v3.json	PASS: full verify-whisper-acceleration suite
2026-08-27T22:18:30Z	integrity review	bound source-independent package verification to the declared reusable filesystem inventory	the first v3 verifier compared package bytes only when its promotion source was present, allowing offline verification to miss mutations	scripts/whisper_release_common.py; stage-qualified-whisper-release.py --self-test	PASS: missing CLI, missing probe, changed runtime, changed cache, and extra file all reject
2026-08-27T22:27:09Z	behavior guard	bound production launch, decode, receipt, telemetry, and recovery values to the inference contract digest	a watched behavior source change must create a new canonical projection and therefore a new inference contract rather than forcing unrelated app releases to requalify	whisper_behavior.rs; whisper-behavior-v3.json; verify-whisper-behavior-contract.py	PASS: Rust projection, Python guard mutations, 70 Whisper tests, clippy, and full acceleration suite
2026-08-27T22:29:08Z	invalidation matrix	verified each independent release identity boundary and physical requalification decision	reusable evidence is safe only if app-only mutations change the binding alone while runtime, inference, environment, and measurement changes cascade through evidence	scripts/verify-whisper-invalidation.py	PASS: 12 cases; unsupported request policy refuses reuse; full acceleration suite green
